epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.781,1.57965,1.41409,1.27694,0.93174,0.94398,0.96199,0.67219,1.10006,23.5561,1.10572,0.00333027,0.00333027,0.00333027
2,267.47,1.15666,0.74139,1.05298,0.95634,0.96616,0.96606,0.73134,0.90829,49.5968,0.99196,0.00659763,0.00659763,0.00659763
3,396.591,1.07891,0.67203,1.00827,0.95738,0.97068,0.98201,0.78162,0.77691,41.2395,0.93307,0.00979899,0.00979899,0.00979899
4,524.564,0.98224,0.60364,0.97008,0.96201,0.97397,0.98288,0.80998,0.69022,41.8148,0.89437,0.009703,0.009703,0.009703
5,651.357,0.88701,0.54372,0.93583,0.96541,0.97255,0.98411,0.82637,0.63985,48.1197,0.873,0.009604,0.009604,0.009604
6,778.393,0.82485,0.50606,0.91419,0.97517,0.97506,0.98973,0.85087,0.57102,35.4126,0.84762,0.009505,0.009505,0.009505
7,904.302,0.78485,0.48015,0.90217,0.97921,0.9845,0.99172,0.86898,0.52673,28.4784,0.83467,0.009406,0.009406,0.009406
8,1030.49,0.74206,0.44999,0.89217,0.98314,0.98395,0.99295,0.87471,0.51963,8.13147,0.83153,0.009307,0.009307,0.009307
9,1157.13,0.7125,0.43024,0.88312,0.98913,0.99155,0.99379,0.8897,0.47524,6.28536,0.81979,0.009208,0.009208,0.009208
10,1282.95,0.69084,0.41526,0.87874,0.98804,0.98834,0.99362,0.88756,0.47122,2.74014,0.81814,0.009109,0.009109,0.009109
11,1408.88,0.66586,0.39791,0.87153,0.99129,0.99361,0.99388,0.90102,0.44306,7.91767,0.80782,0.00901,0.00901,0.00901
12,1535.42,0.65148,0.39162,0.86638,0.99176,0.99125,0.99394,0.90087,0.44508,3.33542,0.8103,0.008911,0.008911,0.008911
13,1660.82,0.62998,0.37915,0.86242,0.99359,0.99317,0.99397,0.91142,0.4095,2.26046,0.79931,0.008812,0.008812,0.008812
14,1786.47,0.6189,0.37007,0.8589,0.99566,0.99614,0.99424,0.91667,0.40374,2.4994,0.79812,0.008713,0.008713,0.008713
1,126.961,1.3013,1.06068,1.06376,0.95695,0.96794,0.97024,0.7362,0.87721,50.2693,0.90008,0.000555155,0.000555155,0.000555155
2,246.308,0.8731,0.55831,0.89948,0.96068,0.97395,0.98441,0.81108,0.67115,46.275,0.83778,0.00100085,0.00100085,0.00100085
3,362.913,0.73565,0.48283,0.86313,0.96366,0.97338,0.98941,0.84544,0.60069,40.6081,0.81987,0.00133652,0.00133652,0.00133652
4,479.459,0.64709,0.43178,0.84265,0.9627,0.97778,0.98977,0.88074,0.50762,44.9206,0.79838,0.0011719,0.0011719,0.0011719
5,595.552,0.59251,0.39793,0.83135,0.95248,0.96813,0.99228,0.8921,0.4827,19.6768,0.79254,0.00100687,0.00100687,0.00100687
6,711.339,0.55764,0.37318,0.82372,0.98451,0.98095,0.99352,0.89883,0.4609,16.4785,0.78736,0.000841835,0.000841835,0.000841835
7,826.79,0.51344,0.34267,0.81515,0.98385,0.98613,0.99347,0.91388,0.42619,13.7775,0.7802,0.000676802,0.000676802,0.000676802
8,942.754,0.48435,0.32421,0.81015,0.98108,0.984,0.99383,0.92187,0.4158,5.17779,0.78107,0.000511769,0.000511769,0.000511769
9,1058.53,0.45596,0.30335,0.80449,0.99226,0.99243,0.99432,0.92549,0.38751,3.005,0.77306,0.000346736,0.000346736,0.000346736
10,1173.67,0.42734,0.28163,0.80038,0.99594,0.99622,0.99432,0.94187,0.34592,2.39439,0.76634,0.000181703,0.000181703,0.000181703
